Nombre,Resumen Editorial,Tipo de Resumen,API Utilizada,Calificación,Total de Reseñas,Dirección,Teléfono,Latitud,Longitud,Distancia (km),URL de Google Maps,Sitio Web,Horarios,Nivel de Precios,Número de Fotos,Comentarios,Comentarios_Analizados,Sentimiento_Positivo,Sentimiento_Negativo,Sentimiento_Neutral,Porcentaje_Positivos,Porcentaje_Negativos,Porcentaje_Neutrales,Score_Sentimiento_Promedio,Categoria_Sentimiento,NPS_Score,NPS_Categoria
Taqueria Los Bufalos,"Taqueria Los Bufalos es una taquería muy recomendada, conocida por ofrecer comida de calidad consistente. Cuenta con 206 reseñas de clientes satisfechos.",Generado Automáticamente,Places API (Legacy),4.3,206.0,"Rey Meconetzin, Ajusco, Coyoacán, 04300 Ciudad de México, CDMX",,19.3212249,-99.1595312,3.5,https://maps.google.com/?cid=17362516436148157904,,domingo: 6:00 p.m. – 1:00 a.m.; lunes: 6:00 p.m. – 1:00 a.m.; martes: Cerrado; miércoles: 6:00 p.m. – 1:00 a.m.; jueves: 6:00 p.m. – 1:00 a.m.; viernes: 6:00 p.m. – 2:00 a.m.; sábado: 6:00 p.m. – 2:00 a.m.,,10,"Pros:
Los tacos de pastor a la planchas con buen sabor y menos grasa.
Gran variedad de alimentos en el menú.
Jueves de 2x1

Contras:
No tiene estacionamiento propio.
Lugar muy pequeño para comer ahí mismo.
Falta mantenimiento a sus instalaciones. | Los tacos de pastor están doraditos y bien marinados , sin problema le pongo 5 estrellas a la orden de pastor , bien servida y con muchas tortillas , cada peso vale en esta taquería definitivamente, el servicio es amable y atento | Excelente servicio; el bistec es muy rico | Las personas que te atienden son súper amables y atentas, la comida es buena, eso sí es más barato comparado con otras taquerias, comimos 4 personas por 270$ y casi ni podíamos. | Efectivamente, son lo más buenos de los que están por la zona para mi gusto, pero algo que sí es real es que aunque diga jueves y domingos 2x1, les ponen menos carne, mejor vayan un día diferente para que no encuentren tanta gente y se tarden media hora esperando jaja",5,4,1,0,80.0,20.0,0.0,0.6,Muy Positivo,60.0,Muy Bueno
Taqueria san Miguel,Taqueria san Miguel se destaca por la calidad de sus tacos y el buen servicio al cliente.,Generado Automáticamente,Places API (Legacy),4.4,44.0,"C. Cruz Verde, Cuauhtémoc, La Magdalena Contreras, 10020 Ciudad de México, CDMX",56 2800 2473,19.3169606,-99.2431788,9.73,https://maps.google.com/?cid=17354082656082064715,,,,10,"Mal mal mal mal, el pastor sabe mucho mucho a vinagre. Los de suadero PESIMOS!!!! Son 100% carne de cerdo y los venden como si fuera de res, aparte muy muy míseros, no les ponen nada de carne y la tortilla muy pero muy chica. Mala idea!! No vuelvo a comprar ahí. | Es un local chico pero, buen servicio y gran sabor.
Me gustaría más variedad en salsas. | Excelente servicio, buenos precios. Muy recomendables | Muy buen sabor, el personal es muy amable, precios accesibles 100% recomendado. | Excelente atención.
Buenos precios, tacos y alambres exquisitos y además bien servidos.
Excelente promoción de 2 X 1 en tacos de pastor y de suadero los días martes.
Acostumbro a menudo esta taqueria y siempre me han atendido muy bien.",5,4,1,0,80.0,20.0,0.0,0.6,Muy Positivo,60.0,Muy Bueno
"Taquería ""Los Parientes""","Taquería ""Los Parientes"" se destaca por la calidad de sus tacos y el buen servicio al cliente.",Generado Automáticamente,Places API (Legacy),5.0,1.0,"Cerca de, Prol. Cruz Blanca 71, Cuauhtémoc, La Magdalena Contreras, 10020 Ciudad de México, CDMX",,19.3201815,-99.2424257,9.77,https://maps.google.com/?cid=8850156145596723692,,domingo: 9:30 a.m. – 6:00 a.m.; lunes: 9:30 a.m. – 6:00 a.m.; martes: Cerrado; miércoles: 9:30 a.m. – 6:00 a.m.; jueves: 9:30 a.m. – 6:00 a.m.; viernes: 9:30 a.m. – 6:00 a.m.; sábado: 9:30 a.m. – 6:00 a.m.,,3,"Es un buen lugar para pasar entre semana y la comida está grande, pero el personal es poco amable",1,1,0,0,100.0,0.0,0.0,1.0,Muy Positivo,100.0,Excelente
Taqueria Las Palomas San Fernando,"Taqueria Las Palomas San Fernando es una taquería muy recomendada, conocida por ofrecer comida de calidad consistente. Destaca por sus precios moderados y 342 reseñas de clientes satisfechos.",Generado Automáticamente,Places API (Legacy),4.3,342.0,"Av. San Fernando 546, Tlalpan Centro I, Tlalpan, 14000 Ciudad de México, CDMX",55 5922 4795,19.2950064,-99.1793203,2.61,https://maps.google.com/?cid=11558453303406002081,,domingo: 1:00 p.m. – 12:00 a.m.; lunes: 1:00 p.m. – 12:00 a.m.; martes: 1:00 p.m. – 12:00 a.m.; miércoles: 1:00 p.m. – 12:00 a.m.; jueves: 1:00 p.m. – 12:00 a.m.; viernes: 1:00 p.m. – 12:00 a.m.; sábado: 1:00 p.m. – 12:00 a.m.,$$$,10,"Lo bueno:
-Sabor de los tacos al pastor
-Sazón de la salsa
-Amabilidad
-Limpieza

Lo mejorable:
-Solo reciben efectivo o transferencia y tienes que esperar demasiado para que te confirmen el pago ya que se distraen los meseros con otras cosas
-Los tacos de bistec, costilla etc te los dan sin verdura, solamente la carne y solo venden una orden que es algo  grande
-No hay suadero | Empleadas que se ponen a criticar a los clientes y no son nada discretas antes si tenían empleadas respetuosas como una chica delgada joven muy amable en cambio las de ahora una media viernes y pases de peso y otra morena pasada de peso bueno ya no le sigo con más descripciones ya con eso se entiende el porqué 😇 no vayan ambiente feo por esas empleadas . | El lugar se ve limpio y se ve que tienen mucha clientela, en especial cuando es la hora de la comida.

Venden de todo un poco, tacos, guisos, hamburguesas, etcétera.

Lo que me gustó fue el sabor de los tacos al pastor, pero el precio se me hace muy elevado. Un taco cuesta $24, aunque te aplican un 2x1 que prácticamente no se diferencia de otros lugares en donde están a $15 pesos los tacos.
Si quieres un taco con queso no es incluido en la promoción 2x1, por lo que pagarás $25 por un solo taco.

En cuanto a los tacos el sabor es excelente, ni muy salado ni desabridos. Las salsas están consistentes y con buen picor, ni tan poco ni mucho que te dejen sudando. Eso sí, los tacos son muy pequeños y algunos siento que les hace falta carne para sentirlos que valen la pena por el precio. | Pésimo servicio después de media hora nos dijeron que ya no había pastor, se pidieron unos frijoles charros los cuales nunca los llevaron, Y para rematar con broche de oro Cuando llega la hora de la cuenta no aceptan tarjeta de crédito
Pésimo pésimo pésimo inaceptable la actitud del mesero | Pedí pastor y pollo, muy rico, sólo que para ser una taquería tradicional faltan papalos, rabanos o pepinos. En mí volcan de pastor y orden de pollo no contenía cilantro ni cebolla, esencial para todo taco.",5,3,1,1,60.0,20.0,20.0,0.4,Positivo,40.0,Bueno
Sazón Del Ruedo - Tacos de Carnitas,"Sazón Del Ruedo - Tacos de Carnitas es una taquería muy recomendada, conocida por ofrecer comida de calidad consistente. Cuenta con 470 reseñas de clientes satisfechos.",Generado Automáticamente,Places API (Legacy),4.1,470.0,"Av. San Fernando 557, Tlalpan, 14070 Ciudad de México, CDMX",55 2237 4485,19.2955658,-99.1800633,2.7,https://maps.google.com/?cid=1631460230108084753,https://www.sazondelruedo.mx/,domingo: 2:00 p.m. – 2:00 a.m.; lunes: 2:00 p.m. – 2:00 a.m.; martes: 2:00 p.m. – 2:00 a.m.; miércoles: 2:00 p.m. – 2:00 a.m.; jueves: 2:00 p.m. – 2:00 a.m.; viernes: 2:00 p.m. – 2:00 a.m.; sábado: 2:00 p.m. – 2:00 a.m.,,10,"El lugar ya no es administración de el Sazón del Rued, incluso sus cartas tienen otro nombre, el servicio fue pésimo, tardaron mas de 30 minutos en traer los tacos, su agua de Jamaica sabía a que llevaba días en el refrigerador. El sabor del pastor ya no se compara en nada a como lo preparaban antes. | Comida asquerosa pedimos pastor al carbón y eran carnitas, no traen la comida a tiempo y tampoco lo que se solicita 😾🤮🤢

Nunca vengan a menos que les guste comer asqueroso | Pedimos carne al pastor al carbón y nos trajeron carnitas, se escurre toda la manteca y ni un pedazo sabía a carbón. | El sazón muy rico, quedé sorprendida con el sabor de mis alimentos, el pastor al carbón está DELICIOSO, la torta está de lujo, además de que el personal es increíblemente amable, además el agua de horchata es deliciosa. Las porciones son muuuuy generosas así que es recomendable ir con hambre, sugiero pedir una orden extra de pepitas para acompañar tus alimentos.

No pierdan la oportunidad de visitarlos, un excelente lugar, sigan así, este lugar merece todo el éxito del mundo. | Creo q la administración ha cambiado. En sus inicios el sabor y calidad eran bastantes buenos. Una opción para quien deseaba comer tacos con  un sabor diferente. Pero hoy la historia es otra. Claramente la calidad de los insumos es muy baja. El precio si es económico pero ya no lo recomendaría. Creo que han enfocado sus esfuerzos en acaparar el público que desea consumir alcohol.",5,2,2,1,40.0,40.0,20.0,0.0,Neutral,0.0,Pasivo
Taqueria Zenon,Taqueria Zenon es una taquería excepcional con una excelente reputación entre los comensales.,Generado Automáticamente,Places API (Legacy),4.7,60.0,"Nezahualpilli, Ajusco, Coyoacán, 04300 Ciudad de México, CDMX",,19.3154177,-99.1656892,3.04,https://maps.google.com/?cid=12489370685520353763,,,,1,"Execelente servicio muy amables todos la mesera y el maestro taquero lo recomiendo mucho sobre todo los tacos de tripa y de adobada deliciosos volveré nuevamente todo perfecto 👌💯 | Muy malos tacos la verdad. En serio el señor ha bajado su calidad pero aumentado los precios. Antes era el bueno del rumbo, ahora la calidad deja mucho que desear. El suadero con bastante grasa, sin sabor (parece que lleva mucho tiempo guardado). Las salsas agrias y si te sientas cerca del refrigerador, cuando lo abren para sacar los refrescos sale un aroma desagradable. El lugar es amplio pero requiere limpieza (las mesas están grasientas). La atención es buena. | Buenos tacos con buen sabor y bien servidos, las personas que trabajan ahí son muy amables y atentos. | Muy ricos tacos | Me encanta la atención y los tacos son de muy buen tamaño",5,3,1,1,60.0,20.0,20.0,0.305,Positivo,40.0,Bueno
Taquería JM,Taquería JM es una taquería local con buenas calificaciones que ofrece auténtica comida mexicana.,Generado Automáticamente,Places API (Legacy),3.7,19.0,"Acanceh 7, Lomas de Padierna, Tlalpan, 14240 Ciudad de México, CDMX",,19.2901518,-99.2262788,7.48,https://maps.google.com/?cid=9237784307772277319,,domingo: Cerrado; lunes: 9:00 a.m. – 2:00 a.m.; martes: 9:00 a.m. – 2:00 a.m.; miércoles: 9:00 a.m. – 2:00 a.m.; jueves: 9:00 a.m. – 2:00 a.m.; viernes: 9:00 a.m. – 3:30 a.m.; sábado: 9:00 a.m. – 3:30 a.m.,,1,"Siguen estando buenos, pero ya se están pareciendo a los de los cuñados, ya les ponen menos cantidad que antes.
Primero nos acostumbran y uno que va todos los fines de semana, si nota la diferencia.
Esta vez los de bistec estaban de 10!
Saludos | Los tacos de suadero son muy ricos, hay de cabeza y pastor también.
Deliciosos postres! | Pésimo servicio, parece que te hacen el favor y un taco de lengua me lo dieron súper crudo 🤮 | Saben feos :(
No son de buena calidad en general y la longaniza Es de las corrientitas ☹️ | Muy mal servicio  las tacos  nooo estás buenos",5,3,1,1,60.0,20.0,20.0,0.4,Positivo,40.0,Bueno
Taquería Las Palomas Chicoasen,"Taquería Las Palomas Chicoasen es una taquería muy recomendada, conocida por ofrecer comida de calidad consistente. Destaca por sus precios moderados y más de 1477 reseñas que respaldan su reputación.",Generado Automáticamente,Places API (Legacy),4.1,1477.0,"Av. Chicoasen 12-A, Pedregal de San Nicolás 3ra Secc, Tlalpan, 14100 Ciudad de México, CDMX",55 5644 8498,19.2861856,-99.2298656,7.87,https://maps.google.com/?cid=2005692806998767218,,domingo: 2:00–11:00 p.m.; lunes: 2:00–11:00 p.m.; martes: 2:00–11:00 p.m.; miércoles: 2:00–11:00 p.m.; jueves: 2:00–11:00 p.m.; viernes: 2:00 p.m. – 12:00 a.m.; sábado: 2:00 p.m. – 12:00 a.m.,$$$,10,"Un lugar que volvería a repetir, probé el alambre mixto y frijoles charros, me lleve una grata sorpresa, con un buen sabor y buena porción en el alambre, para acompañar su agua de sabor fresca. Fui un sábado por la tarde a las 4 aún con mesas vacías, a las 5 ya estaba lleno el lugar. Es una buena opción para comer por la zona. El único problema son las pocas mesas y la falta de un estacionamiento propio. | Los tacos están súper simples, no tienen chiste, no tienen sabor, se tardan años en atenderte, se demoran mucho las órdenes y se equivocan a mas no poder.
Tienes que pedir todo en un pedido
Si no se tardan hasta 20min en traer el resto
No lo recomiendo, caro y horrible | El lugar super limpio,  antes de ingresar se aseguran de haber sanitizado la mesa. La atención amable y el sabor delicioso...

Algo ligero para la cena,  jeje

Recomendado 🌟  🌟 🌟 🌟 🌟 | Buenas comida, con buen sazón, pero el servicio es el que deja mucho que desear, necesitan una capacitación de atención al cliente, cero amabilidad, cero empatía. | Las tortas de pastor, los alambres mixtos y las aguas de horchata son la onda si eres gordito feliz como yo la vas a pasar rico. Es de notar que no tiene el típico escándalo en las pantallas que impiden la charla; 10 por eso!",5,4,1,0,80.0,20.0,0.0,0.6,Muy Positivo,60.0,Muy Bueno
Tacos ''Las Muñecas'' Toltecas,"Tacos ''Las Muñecas'' Toltecas es una taquería muy recomendada, conocida por ofrecer comida de calidad consistente. Destaca por sus precios moderados y más de 8641 reseñas que respaldan su reputación.",Generado Automáticamente,Places API (Legacy),4.3,8641.0,"C. Toltecas 58, Pedregal de Santo Domingo, Coyoacán, 04369 Ciudad de México, CDMX",55 3279 1505,19.3222721,-99.1635875,3.7,https://maps.google.com/?cid=13425818255188725568,https://m.facebook.com/tacoslasmunecas/?locale2=es_LA,domingo: 5:00 p.m. – 5:00 a.m.; lunes: 6:00 p.m. – 6:00 a.m.; martes: 6:00 p.m. – 6:00 a.m.; miércoles: 6:00 p.m. – 6:00 a.m.; jueves: 6:00 p.m. – 6:00 a.m.; viernes: 6:00 p.m. – 7:00 a.m.; sábado: 5:00 p.m. – 7:00 a.m.,$$$,10,"Súper tacos, muy grandes y bien preparados.
No hay meseros, pides en caja (pagas) y esperas tu orden.
La salsa verde es muy picosa.
El estacionamiento es en calle, hay personas ayudando para esto. | Si bien el lugar no es el más bonito, sí es agradable, las chicas atienden super bien y los tacos son una verdadera delicia,
Le pongo un 4 porque el agua de tamarindo sabía mucho a jabón.
Pero ahí de ahí en más, los tacos muy bien servidos. | ¡Excelentes tacos de suadero!

Las porciones son muy generosas, con 2 tacos quedas lleno. La salsa está deliciosa, aunque la verde sí pica bastante, así que mejor con cuidado. Sin duda, una gran opción para disfrutar de unos buenos tacos. ¡Recomendadísimos! | Tacos ""Las Muñecas"" es un lugar es acogedor para disfrutar de una buena comida nocturna.

Su menú ofrece una variedad de tacos y sabores, llenos de sabor.
El servicio es amable y rápido. Además, los precios son bastante accesibles, lo que lo convierte en una opción ideal para disfrutar de una buena comida sin gastar demasiado.

Tacos ""Las Muñecas"" es una parada obligatoria para quienes visiten Coyoacán o busquen una alternativa económica de madrugada. | Super RICAS gran precio calidad. Las damas que atienden son muy amables y es una gran recomendación!",5,3,0,2,60.0,0.0,40.0,0.6,Muy Positivo,60.0,Muy Bueno
Taquería Lupita Mixe,"Taquería Lupita Mixe es una taquería muy recomendada, conocida por ofrecer comida de calidad consistente. Destaca por sus precios moderados y más de 1525 reseñas que respaldan su reputación.",Generado Automáticamente,Places API (Legacy),4.3,1525.0,"Av. Escuinapa 285, Pedregal de Santo Domingo, Coyoacán, 04369 Ciudad de México, CDMX",55 5619 3642,19.329959,-99.1635713,4.53,https://maps.google.com/?cid=1297010202654675459,,domingo: 5:00 p.m. – 2:00 a.m.; lunes: 5:00 p.m. – 2:00 a.m.; martes: 5:00 p.m. – 2:00 a.m.; miércoles: 5:00 p.m. – 2:00 a.m.; jueves: 5:00 p.m. – 2:00 a.m.; viernes: 5:00 p.m. – 2:00 a.m.; sábado: 5:00 p.m. – 2:00 a.m.,$$$,10,"Los tacos son muy ricos, el trato fue muy agradable y el ambiente como cualquier Taquería, solo vas comes. Pero la chica que nos atendió muy atenta. | Un taco de pastor de buen sabor y buen tamaño que en compañía de su salsa verde puede ser favorito de varios! Alambres de buen tamaño y buena preparación | Unos tacos muy muy buenos, tengo que reconocer que son unos tacos de la zona que para mí quizá son los mejores, he probado en varios y la mayoría están buenos pero estos al tener su carne mayormente doradita les da un toque 🤌 y tomando en cuenta las salsas, que por cierto pican bastante pero saben super ricas, hacen el complemento perfecto!!! El precio es accesible y también tomar en cuenta que lo vale por la cantidad de carne que le echan. | De mis tacos favoritos, bien servidos y de buen sabor. El suadero tiene sus días buenos y no tan buenos pero el pastor y las tortas nunca fallan. Las salsas son muy ricas. | Los mejores tacos de la zona, con bastantes años de experiencia siempre cumplen con la calidad y precio. Recomiendo los alambres con abundantes y bastantes llenadores,  para pedir en familia.",5,5,0,0,100.0,0.0,0.0,1.0,Muy Positivo,100.0,Excelente
Taqueria El Taquito,"Taqueria El Taquito es una taquería muy recomendada, conocida por ofrecer comida de calidad consistente. Destaca por sus precios moderados y 453 reseñas de clientes satisfechos.",Generado Automáticamente,Places API (Legacy),4.4,453.0,"Cruz Verde, Av. San Jerónimo 1, Lomas Quebradas, La Magdalena Contreras, 10000 Ciudad de México, CDMX",55 5668 1259,19.3151815,-99.2415624,9.51,https://maps.google.com/?cid=16424778952431872474,,domingo: 3:00 p.m. – 12:00 a.m.; lunes: 3:00 p.m. – 12:00 a.m.; martes: 3:00 p.m. – 12:00 a.m.; miércoles: 3:00 p.m. – 12:00 a.m.; jueves: 3:00 p.m. – 12:00 a.m.; viernes: 3:00 p.m. – 1:00 a.m.; sábado: 3:00 p.m. – 1:00 a.m.,$$$,10,"Es un buena opción. Muy accesible y sobre todo rico. Falla un poco en las especialidades, algo le falta. Pero en general es rico. El servicio es muy bueno tanto en el local como para llevar. | Es una taquería que si bien no es mi primera opción en comprar las veces que he ido no me han defraudado en sabor, los tacos de pastor en este local son la mejor opción; aunque no tienen estacionamiento particular no es complicado encontrar en donde dejar el auto. La atención es rápida y los trabajadores son eficaces. | No mames me encanta ""el taquito"" es la clásica taqueria mexicana y no mamadas. Con las clásicas mini tortillas de maíz y su aceitito

Unos tacos de al pastor, unos de suadero, capechanos o los clásicos de bistec, tienen que probarlos todos y claro la Coca bien fría o tu refresco sabor rojo

Los precios accesibles, buen sabor, los taqueros muy amables

Aunque debo confesar que siempre que  voy me cae aceite incandescente en la cara así que aléjense del comal con aceite para evitar quemaduras | Pequeño espacio, con una buena y rica variedad en tacos, en Av. San Jerónimo
Si tienes antojo de unos ricos y bien servidos tacos al pastor, ahí es buen lugar para degustarlos.
Buena y amable atención...
Continúan con la amable y rauda atención, incluso a domicilio 😉 | Muy buenos tacos",5,5,0,0,100.0,0.0,0.0,0.87,Muy Positivo,100.0,Excelente
TAQUERÍA EL GÜERO,"TAQUERÍA EL GÜERO es una taquería muy recomendada, conocida por ofrecer comida de calidad consistente. Destaca por sus precios muy económicos y 419 reseñas de clientes satisfechos.",Generado Automáticamente,Places API (Legacy),4.3,419.0,"Ejido 45, Coapa, Ejido Viejo de Sta Úrsula Coapa, Coyoacán, 04650 Ciudad de México, CDMX",,19.302805,-99.1409001,2.05,https://maps.google.com/?cid=2764168502323951412,,domingo: Cerrado; lunes: 9:00 a.m. – 1:00 a.m.; martes: 9:00 a.m. – 1:00 a.m.; miércoles: 9:00 a.m. – 1:00 a.m.; jueves: 9:00 a.m. – 1:00 a.m.; viernes: 9:00 a.m. – 1:00 a.m.; sábado: 9:00 a.m. – 1:00 a.m.,$$,10,"Excelente tiene buen sabor y la tripa muy bien cocida toda la carne sabe bien 👍 | Hay poco espacio en la calle para pasar (autos) así que si llevan carro busquen lugar antes. | Muy muy caro muy poco el contenido del taco y la verdad muy lento el servicio nada recomendable | Están buenos, pero la atención de la señora me deja mucho que desear.
Comprendo que todos tenemos problemas, pero los clientes no tenemos la culpa.
Nos trató mal a todas las personas que estábamos comiendo ahí. | Me encantan!! Están baratos, sabrosos... Tienen de tripa, suadero, longaniza, campechano, tripa, lengua, pastor, cabeza, etc... Además ofrecen pozole algunos días... Y ""El güero"" es buenisima onda 😉",5,4,0,1,80.0,0.0,20.0,0.8,Muy Positivo,80.0,Excelente
Tacos del Sur,"Tacos del Sur es una taquería muy recomendada, conocida por ofrecer comida de calidad consistente. Destaca por sus precios moderados y más de 1825 reseñas que respaldan su reputación.",Generado Automáticamente,Places API (Legacy),4.2,1825.0,"Cda. Tepetlapa 2002, Coapa, Popular Emiliano Zapata, Coyoacán, 04800 Ciudad de México, CDMX",55 4084 4756,19.315737,-99.1106017,5.47,https://maps.google.com/?cid=914219374958366882,,domingo: 10:00 a.m. – 2:00 a.m.; lunes: 10:00 a.m. – 2:00 a.m.; martes: 10:00 a.m. – 2:00 a.m.; miércoles: 10:00 a.m. – 2:00 a.m.; jueves: 10:00 a.m. – 2:00 a.m.; viernes: 10:00 a.m. – 2:00 a.m.; sábado: 10:00 a.m. – 2:00 a.m.,$$$,10,"He comido muchas veces ahí y todo era excelente.
Recién fuí, para iniciar la mesera tenía cara de pocos amigos, cero amable. Pedí tacos de suadero y la carne estaba agria, quizá en mal estado, le dije a la mesera y enseguida los ""cocineros"" hicieron comentarios ofensivos y poco amables hacia nosotros. Aun así nos cobraron los tacos. | Los peores tacos que he comido, la carne es muy seca, no tiene sabor, las salsas no saben bien saben igual y muy saladas, los meseros están de jeta y atienden mal, las aguas son muy dulces y no tienen sabor. Creo que saben mejor los taquitos que venden fuera del metro. Primera y última vez que voy 🤮 | Super ricos los taquitos de pastor, los tacos de tripa no los recomiendo, el alambre también es de super buena porción, la atención por parte de los meseros es buena, son atentos, recomiendo para una cenita familiar o en pareja | Una joya de la zona para comer todo lo relacionado con pastor, bistec, suadero, lengua, tripa, costilla, etcétera. En el menú manejan desde tacos, huaraches, volcanes, burritos, tortas, quesos fundidos, alambres, entre otros. He comido aquí desde hace años debido a que estudié por el lugar. Recomiendo mucho los tacos de pastor, tripa, y suadero. Venden aguas frescas y cervezas y el precio a mi parecer bastante aceptable, manejan pago con tarjeta y servicio a domicilio. | El tamaño de los alambres no tienen nombre¡¡¡ el mediano es enorme y el grande está gigante¡ los precios son increíblemente económicos para lo que te dan. El sazón también es muy bueno",5,4,0,1,80.0,0.0,20.0,0.8,Muy Positivo,80.0,Excelente
Taquería Casa Lupe Xotepingo,"Taquería Casa Lupe Xotepingo es una opción sólida para tacos, con buenas calificaciones de sus visitantes. Cuenta con más de 1475 reseñas que respaldan su reputación.",Generado Automáticamente,Places API (Legacy),3.9,1475.0,"Calz. de Tlalpan 2545-local D, Xotepingo, Coyoacán, 04610 Ciudad de México, CDMX",55 9362 5092,19.3277433,-99.1397132,4.49,https://maps.google.com/?cid=11846668617417194131,https://www.facebook.com/profile.php?id=100093645742583&mibextid=LQQJ4d,domingo: 10:00 a.m. – 3:00 a.m.; lunes: 10:00 a.m. – 3:00 a.m.; martes: 10:00 a.m. – 3:00 a.m.; miércoles: 10:00 a.m. – 3:00 a.m.; jueves: 10:00 a.m. – 3:00 a.m.; viernes: 10:00 a.m. – 3:00 a.m.; sábado: 10:00 a.m. – 3:00 a.m.,,10,"Un lugar de antaño. Excelente para desayunar, comer o cenar ya que tienen un horario bastante amplio y una carta con infinidad de opciones para degustar. Nosotros pedimos un alambre mixto acompañado de tortillas de comal y una hamburguesa hawaiana, pero también venden tacos, tortas, baguettes, sopes, birria, pozole, etc. Aceptan pago con tarjeta. Te puedes estacionar enfrente del negocio o bien sobre la calle en algún lugarcito disponible. Los precios son intermedios. La atención es excelente. | Me encantaron estos tacos, el servicio excelente muy atentos en todo momento.

La comida la entregaron muy rápido y ofrecen variedad de salsas que realmente saben a salsa. Las porciones de buen tamaño, los tacos los sirvieron en tortilla azul. | La comida muy rica, las tortas son muy ricas y bastante generosas.

Recomiendo los combinados y los clásicos de pastor.

No hay estacionamiento pero hay un chico que te indica cómo estacionarte frente al restaurante (Batería).

Los meseros son amables.

Venden cerveza con alimentos.
Muy bien ubicados, los horarios son excelentes para ir saliendo del antro. | Comida buena dentro de lo que cabe, servicio deja algo que desear, pero un lugar como los demás nada en especial. | pidan los chilaquiles, están bien ricos. también el consome de birria, las hamburguesas, todo me gusta de aqui. 👌 y los que trabajan aquí son muy amables.",5,5,0,0,100.0,0.0,0.0,1.0,Muy Positivo,100.0,Excelente
Taquería Peritaco,Taquería Peritaco es una taquería excepcional con una excelente reputación entre los comensales. Cuenta con 187 reseñas de clientes satisfechos.,Generado Automáticamente,Places API (Legacy),4.5,187.0,"14320, Coapa, Vergel Coapa, Tlalpan, 14320 Ciudad de México, CDMX",56 4173 6654,19.300909,-99.1252352,3.35,https://maps.google.com/?cid=13337740072193841555,https://doncarnelio.com/,domingo: 8:00 a.m. – 9:30 p.m.; lunes: 8:00 a.m. – 9:30 p.m.; martes: 8:00 a.m. – 9:30 p.m.; miércoles: 8:00 a.m. – 9:30 p.m.; jueves: 8:00 a.m. – 9:30 p.m.; viernes: 8:00 a.m. – 9:30 p.m.; sábado: 8:00 a.m. – 9:30 p.m.,,10,"Antes Don Carnelio :'(
La calidad de los tacos sí bajó con el cambio de nombre (y/o administración no tengo idea) Sigue conservando la variedad del menú, pero ya ningún taco es espectacular como antes lo eran. Los únicos que siguen ricos son los de lengua y carnitas :/
el servicio siempre es bueno y se agradece | Están excelentes sus tacos y más los de sirloin, son mis favoritos y los recomiendo siempre, las tortillas no les ponen aceite lo que las hace menos grasosas y súper suavecitas, para mi son los mejores tacos, la sopa de tortilla nunca la volví a probar y es por eso que le doy 4 estrellas porque siempre que llevo a mi familia nunca tienen sopas y consomés que porque cierran la cocina a las 6, cosa que no es cierto porque hemos ido a todas horas y nunca tienen. | Por ser una plaza y por la zona se entienden los precios, pero están muy exagerados ($19 un taco de tortilla pequeña), el servicio no es malo pero es ineficiente, aunque te atiendan rápido lo hacen mal porque se equivocan en lo que pediste, te traen menos y aún así te lo cobran, la carne de mis tacos no se sentía seca ni vieja, pero si insípida y algo desabrida, tenía más sabor el cilantro y cebolla.

No vale la pena pagar tanto por tan poco, es mejor comprar en McDonald’s en Galerías Coapa, ahórrense pagar por quedar insatisfechos. | Muy muy buena la comida; recomendadisima la
Torta en especial de sirloin.
La atención muy buena y rapidísima.
Pasamos a comer rápido y salimos súper satisfechos y contentos. | Excelente el sabor de los tacos, los de Sirlon son una delicia. Sin duda voy a volver.",5,4,1,0,80.0,20.0,0.0,0.6,Muy Positivo,60.0,Muy Bueno
